Stationsnamn;Stationsnummer;Stationsnät;Mäthöjd (meter över marken)
Strängnäs;97270;SMHIs stationsnät;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa 1 dygn, 1 gång/dygn, kl 06;millimeter

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1980-04-01 00:00:00;1990-01-01 23:59:59;25.0;59.4020;17.0605

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativt dygn;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
1987-09-21 06:00:01;1987-09-22 06:00:00;1987-09-21;0.0;Y
1987-09-22 06:00:01;1987-09-23 06:00:00;1987-09-22;1.2;Y
1987-09-23 06:00:01;1987-09-24 06:00:00;1987-09-23;0.0;Y
1987-09-24 06:00:01;1987-09-25 06:00:00;1987-09-24;0.0;Y
1987-09-25 06:00:01;1987-09-26 06:00:00;1987-09-25;1.1;Y
1987-09-26 06:00:01;1987-09-27 06:00:00;1987-09-26;0.0;Y
1987-09-27 06:00:01;1987-09-28 06:00:00;1987-09-27;0.6;Y
1987-09-28 06:00:01;1987-09-29 06:00:00;1987-09-28;0.6;Y
1987-09-29 06:00:01;1987-09-30 06:00:00;1987-09-29;0.0;Y
1987-09-30 06:00:01;1987-10-01 06:00:00;1987-09-30;0.0;Y
1987-10-01 06:00:01;1987-10-02 06:00:00;1987-10-01;0.0;Y
1987-10-02 06:00:01;1987-10-03 06:00:00;1987-10-02;0.0;Y
1987-10-03 06:00:01;1987-10-04 06:00:00;1987-10-03;0.0;Y
1987-10-04 06:00:01;1987-10-05 06:00:00;1987-10-04;0.0;Y
1987-10-05 06:00:01;1987-10-06 06:00:00;1987-10-05;0.0;Y
1987-10-06 06:00:01;1987-10-07 06:00:00;1987-10-06;0.0;Y
1987-10-07 06:00:01;1987-10-08 06:00:00;1987-10-07;0.0;Y
1987-10-08 06:00:01;1987-10-09 06:00:00;1987-10-08;0.0;Y
1987-10-09 06:00:01;1987-10-10 06:00:00;1987-10-09;1.5;Y
1987-10-10 06:00:01;1987-10-11 06:00:00;1987-10-10;0.0;Y
1987-10-11 06:00:01;1987-10-12 06:00:00;1987-10-11;0.0;Y
1987-10-12 06:00:01;1987-10-13 06:00:00;1987-10-12;0.0;Y
1987-10-13 06:00:01;1987-10-14 06:00:00;1987-10-13;8.7;Y
1987-10-14 06:00:01;1987-10-15 06:00:00;1987-10-14;0.0;G
1987-10-15 06:00:01;1987-10-16 06:00:00;1987-10-15;2.7;G
1987-10-16 06:00:01;1987-10-17 06:00:00;1987-10-16;5.9;G
1987-10-17 06:00:01;1987-10-18 06:00:00;1987-10-17;0.0;G
1987-10-18 06:00:01;1987-10-19 06:00:00;1987-10-18;0.2;G
1987-10-19 06:00:01;1987-10-20 06:00:00;1987-10-19;0.0;G
1987-10-20 06:00:01;1987-10-21 06:00:00;1987-10-20;0.0;G
1987-10-21 06:00:01;1987-10-22 06:00:00;1987-10-21;0.0;G
1987-10-22 06:00:01;1987-10-23 06:00:00;1987-10-22;0.0;G
1987-10-23 06:00:01;1987-10-24 06:00:00;1987-10-23;7.0;G
1987-10-24 06:00:01;1987-10-25 06:00:00;1987-10-24;2.3;G
1987-10-25 06:00:01;1987-10-26 06:00:00;1987-10-25;0.2;G
1987-10-26 06:00:01;1987-10-27 06:00:00;1987-10-26;0.2;G
1987-10-27 06:00:01;1987-10-28 06:00:00;1987-10-27;0.0;G
1987-10-28 06:00:01;1987-10-29 06:00:00;1987-10-28;0.0;G
1987-10-29 06:00:01;1987-10-30 06:00:00;1987-10-29;0.0;G
1987-10-30 06:00:01;1987-10-31 06:00:00;1987-10-30;0.0;G
1987-10-31 06:00:01;1987-11-01 06:00:00;1987-10-31;0.1;Y
1987-11-01 06:00:01;1987-11-02 06:00:00;1987-11-01;0.0;Y
1987-11-02 06:00:01;1987-11-03 06:00:00;1987-11-02;0.0;Y
1987-11-03 06:00:01;1987-11-04 06:00:00;1987-11-03;0.0;Y
1987-11-04 06:00:01;1987-11-05 06:00:00;1987-11-04;0.0;Y
1987-11-05 06:00:01;1987-11-06 06:00:00;1987-11-05;0.0;Y
1987-11-06 06:00:01;1987-11-07 06:00:00;1987-11-06;0.2;Y
1987-11-07 06:00:01;1987-11-08 06:00:00;1987-11-07;3.0;Y
1987-11-08 06:00:01;1987-11-09 06:00:00;1987-11-08;0.0;Y
1987-11-09 06:00:01;1987-11-10 06:00:00;1987-11-09;0.0;Y
1987-11-10 06:00:01;1987-11-11 06:00:00;1987-11-10;0.0;Y
1987-11-11 06:00:01;1987-11-12 06:00:00;1987-11-11;0.0;Y
1987-11-12 06:00:01;1987-11-13 06:00:00;1987-11-12;13.0;Y
1987-11-13 06:00:01;1987-11-14 06:00:00;1987-11-13;0.0;Y
1987-11-14 06:00:01;1987-11-15 06:00:00;1987-11-14;0.0;Y
1987-11-15 06:00:01;1987-11-16 06:00:00;1987-11-15;0.5;Y
1987-11-16 06:00:01;1987-11-17 06:00:00;1987-11-16;5.4;Y
1987-11-17 06:00:01;1987-11-18 06:00:00;1987-11-17;1.5;Y
1987-11-18 06:00:01;1987-11-19 06:00:00;1987-11-18;0.5;Y
1987-11-19 06:00:01;1987-11-20 06:00:00;1987-11-19;11.5;Y
1987-11-20 06:00:01;1987-11-21 06:00:00;1987-11-20;0.4;Y
1987-11-21 06:00:01;1987-11-22 06:00:00;1987-11-21;1.5;Y
1987-11-22 06:00:01;1987-11-23 06:00:00;1987-11-22;3.5;Y
1987-11-23 06:00:01;1987-11-24 06:00:00;1987-11-23;0.0;Y
1987-11-24 06:00:01;1987-11-25 06:00:00;1987-11-24;0.0;Y
1987-11-25 06:00:01;1987-11-26 06:00:00;1987-11-25;2.7;Y
1987-11-26 06:00:01;1987-11-27 06:00:00;1987-11-26;8.5;Y
1987-11-27 06:00:01;1987-11-28 06:00:00;1987-11-27;1.4;Y
1987-11-28 06:00:01;1987-11-29 06:00:00;1987-11-28;2.8;Y
1987-11-29 06:00:01;1987-11-30 06:00:00;1987-11-29;3.4;Y
1987-11-30 06:00:01;1987-12-01 06:00:00;1987-11-30;0.0;Y
1987-12-01 06:00:01;1987-12-02 06:00:00;1987-12-01;0.0;Y
1987-12-02 06:00:01;1987-12-03 06:00:00;1987-12-02;0.0;Y
1987-12-03 06:00:01;1987-12-04 06:00:00;1987-12-03;0.0;Y
1987-12-04 06:00:01;1987-12-05 06:00:00;1987-12-04;0.0;Y
1987-12-05 06:00:01;1987-12-06 06:00:00;1987-12-05;0.0;Y
1987-12-06 06:00:01;1987-12-07 06:00:00;1987-12-06;0.8;Y
1987-12-07 06:00:01;1987-12-08 06:00:00;1987-12-07;0.0;Y
1987-12-08 06:00:01;1987-12-09 06:00:00;1987-12-08;0.1;Y
1987-12-09 06:00:01;1987-12-10 06:00:00;1987-12-09;1.0;Y
1987-12-10 06:00:01;1987-12-11 06:00:00;1987-12-10;1.3;Y
1987-12-11 06:00:01;1987-12-12 06:00:00;1987-12-11;0.0;Y
1987-12-12 06:00:01;1987-12-13 06:00:00;1987-12-12;0.0;Y
1987-12-13 06:00:01;1987-12-14 06:00:00;1987-12-13;0.0;Y
1987-12-14 06:00:01;1987-12-15 06:00:00;1987-12-14;0.0;Y
1987-12-15 06:00:01;1987-12-16 06:00:00;1987-12-15;0.9;Y
1987-12-16 06:00:01;1987-12-17 06:00:00;1987-12-16;0.0;Y
1987-12-17 06:00:01;1987-12-18 06:00:00;1987-12-17;0.0;Y
1987-12-18 06:00:01;1987-12-19 06:00:00;1987-12-18;2.1;Y
1987-12-19 06:00:01;1987-12-20 06:00:00;1987-12-19;0.0;Y
1987-12-20 06:00:01;1987-12-21 06:00:00;1987-12-20;0.3;Y
1987-12-21 06:00:01;1987-12-22 06:00:00;1987-12-21;0.0;Y
1987-12-22 06:00:01;1987-12-23 06:00:00;1987-12-22;6.7;Y
1987-12-23 06:00:01;1987-12-24 06:00:00;1987-12-23;0.0;Y
1987-12-24 06:00:01;1987-12-25 06:00:00;1987-12-24;0.0;Y
1987-12-25 06:00:01;1987-12-26 06:00:00;1987-12-25;0.0;Y
1987-12-26 06:00:01;1987-12-27 06:00:00;1987-12-26;3.0;Y
1987-12-27 06:00:01;1987-12-28 06:00:00;1987-12-27;2.1;Y
1987-12-28 06:00:01;1987-12-29 06:00:00;1987-12-28;0.0;Y
1987-12-29 06:00:01;1987-12-30 06:00:00;1987-12-29;11.0;Y
1987-12-30 06:00:01;1987-12-31 06:00:00;1987-12-30;0.0;Y
1987-12-31 06:00:01;1988-01-01 06:00:00;1987-12-31;1.8;Y
1988-01-01 06:00:01;1988-01-02 06:00:00;1988-01-01;0.5;Y
1988-01-02 06:00:01;1988-01-03 06:00:00;1988-01-02;5.9;Y
1988-01-03 06:00:01;1988-01-04 06:00:00;1988-01-03;2.8;Y
1988-01-04 06:00:01;1988-01-05 06:00:00;1988-01-04;1.0;Y
1988-01-05 06:00:01;1988-01-06 06:00:00;1988-01-05;0.5;Y
1988-01-06 06:00:01;1988-01-07 06:00:00;1988-01-06;3.0;Y
1988-01-07 06:00:01;1988-01-08 06:00:00;1988-01-07;1.4;Y
1988-01-08 06:00:01;1988-01-09 06:00:00;1988-01-08;0.0;Y
1988-01-09 06:00:01;1988-01-10 06:00:00;1988-01-09;0.3;Y
1988-01-10 06:00:01;1988-01-11 06:00:00;1988-01-10;0.0;Y
1988-01-11 06:00:01;1988-01-12 06:00:00;1988-01-11;9.2;Y
1988-01-12 06:00:01;1988-01-13 06:00:00;1988-01-12;3.0;Y
1988-01-13 06:00:01;1988-01-14 06:00:00;1988-01-13;0.0;Y
1988-01-14 06:00:01;1988-01-15 06:00:00;1988-01-14;0.0;Y
1988-01-15 06:00:01;1988-01-16 06:00:00;1988-01-15;0.0;Y
1988-01-16 06:00:01;1988-01-17 06:00:00;1988-01-16;0.0;Y
1988-01-17 06:00:01;1988-01-18 06:00:00;1988-01-17;0.0;Y
1988-01-18 06:00:01;1988-01-19 06:00:00;1988-01-18;1.0;Y
1988-01-19 06:00:01;1988-01-20 06:00:00;1988-01-19;2.5;Y
1988-01-20 06:00:01;1988-01-21 06:00:00;1988-01-20;0.2;Y
1988-01-21 06:00:01;1988-01-22 06:00:00;1988-01-21;0.4;Y
1988-01-22 06:00:01;1988-01-23 06:00:00;1988-01-22;0.8;Y
1988-01-23 06:00:01;1988-01-24 06:00:00;1988-01-23;5.3;Y
1988-01-24 06:00:01;1988-01-25 06:00:00;1988-01-24;0.0;Y
1988-01-25 06:00:01;1988-01-26 06:00:00;1988-01-25;1.0;Y
1988-01-26 06:00:01;1988-01-27 06:00:00;1988-01-26;6.0;Y
1988-01-27 06:00:01;1988-01-28 06:00:00;1988-01-27;5.8;Y
1988-01-28 06:00:01;1988-01-29 06:00:00;1988-01-28;2.6;Y
1988-01-29 06:00:01;1988-01-30 06:00:00;1988-01-29;3.0;Y
1988-01-30 06:00:01;1988-01-31 06:00:00;1988-01-30;1.6;Y
1988-01-31 06:00:01;1988-02-01 06:00:00;1988-01-31;2.1;Y
1988-02-01 06:00:01;1988-02-02 06:00:00;1988-02-01;2.3;Y
1988-02-02 06:00:01;1988-02-03 06:00:00;1988-02-02;4.1;Y
1988-02-03 06:00:01;1988-02-04 06:00:00;1988-02-03;0.3;Y
1988-02-04 06:00:01;1988-02-05 06:00:00;1988-02-04;1.0;Y
1988-02-05 06:00:01;1988-02-06 06:00:00;1988-02-05;0.0;Y
1988-02-06 06:00:01;1988-02-07 06:00:00;1988-02-06;7.2;Y
1988-02-07 06:00:01;1988-02-08 06:00:00;1988-02-07;2.0;Y
1988-02-08 06:00:01;1988-02-09 06:00:00;1988-02-08;2.2;Y
1988-02-09 06:00:01;1988-02-10 06:00:00;1988-02-09;2.4;G
1988-02-10 06:00:01;1988-02-11 06:00:00;1988-02-10;1.7;G
1988-02-11 06:00:01;1988-02-12 06:00:00;1988-02-11;2.0;G
1988-02-12 06:00:01;1988-02-13 06:00:00;1988-02-12;0.0;G
1988-02-13 06:00:01;1988-02-14 06:00:00;1988-02-13;0.0;G
1988-02-14 06:00:01;1988-02-15 06:00:00;1988-02-14;1.7;Y
1988-02-15 06:00:01;1988-02-16 06:00:00;1988-02-15;0.0;G
1988-02-16 06:00:01;1988-02-17 06:00:00;1988-02-16;0.4;G
1988-02-17 06:00:01;1988-02-18 06:00:00;1988-02-17;0.9;G
1988-02-18 06:00:01;1988-02-19 06:00:00;1988-02-18;2.5;G
1988-02-19 06:00:01;1988-02-20 06:00:00;1988-02-19;0.0;G
1988-02-20 06:00:01;1988-02-21 06:00:00;1988-02-20;1.0;G
1988-02-21 06:00:01;1988-02-22 06:00:00;1988-02-21;3.2;G
1988-02-22 06:00:01;1988-02-23 06:00:00;1988-02-22;0.0;G
1988-02-23 06:00:01;1988-02-24 06:00:00;1988-02-23;0.5;G
1988-02-24 06:00:01;1988-02-25 06:00:00;1988-02-24;6.0;G
1988-02-25 06:00:01;1988-02-26 06:00:00;1988-02-25;0.0;G
1988-02-26 06:00:01;1988-02-27 06:00:00;1988-02-26;0.0;G
1988-02-27 06:00:01;1988-02-28 06:00:00;1988-02-27;6.4;G
1988-02-28 06:00:01;1988-02-29 06:00:00;1988-02-28;7.8;G
1988-02-29 06:00:01;1988-03-01 06:00:00;1988-02-29;2.8;Y
1988-03-01 06:00:01;1988-03-02 06:00:00;1988-03-01;3.0;Y
1988-03-02 06:00:01;1988-03-03 06:00:00;1988-03-02;0.0;Y
1988-03-03 06:00:01;1988-03-04 06:00:00;1988-03-03;0.0;Y
1988-03-04 06:00:01;1988-03-05 06:00:00;1988-03-04;0.0;Y
1988-03-05 06:00:01;1988-03-06 06:00:00;1988-03-05;0.0;Y
1988-03-06 06:00:01;1988-03-07 06:00:00;1988-03-06;0.0;Y
1988-03-07 06:00:01;1988-03-08 06:00:00;1988-03-07;5.0;Y
1988-03-08 06:00:01;1988-03-09 06:00:00;1988-03-08;0.5;Y
1988-03-09 06:00:01;1988-03-10 06:00:00;1988-03-09;0.0;Y
1988-03-10 06:00:01;1988-03-11 06:00:00;1988-03-10;4.0;Y
1988-03-11 06:00:01;1988-03-12 06:00:00;1988-03-11;0.0;Y
1988-03-12 06:00:01;1988-03-13 06:00:00;1988-03-12;0.0;Y
1988-03-13 06:00:01;1988-03-14 06:00:00;1988-03-13;0.0;Y
1988-03-14 06:00:01;1988-03-15 06:00:00;1988-03-14;0.0;Y
1988-03-15 06:00:01;1988-03-16 06:00:00;1988-03-15;0.0;Y
1988-03-16 06:00:01;1988-03-17 06:00:00;1988-03-16;0.0;Y
1988-03-17 06:00:01;1988-03-18 06:00:00;1988-03-17;0.0;Y
1988-03-18 06:00:01;1988-03-19 06:00:00;1988-03-18;0.0;Y
1988-03-19 06:00:01;1988-03-20 06:00:00;1988-03-19;0.0;Y
1988-03-20 06:00:01;1988-03-21 06:00:00;1988-03-20;0.0;Y
1988-03-21 06:00:01;1988-03-22 06:00:00;1988-03-21;0.7;Y
1988-03-22 06:00:01;1988-03-23 06:00:00;1988-03-22;0.7;Y
1988-03-23 06:00:01;1988-03-24 06:00:00;1988-03-23;1.0;Y
1988-03-24 06:00:01;1988-03-25 06:00:00;1988-03-24;0.0;Y
1988-03-25 06:00:01;1988-03-26 06:00:00;1988-03-25;2.0;Y
1988-03-26 06:00:01;1988-03-27 06:00:00;1988-03-26;1.6;Y
1988-03-27 06:00:01;1988-03-28 06:00:00;1988-03-27;0.0;Y
1988-03-28 06:00:01;1988-03-29 06:00:00;1988-03-28;0.0;Y
1988-03-29 06:00:01;1988-03-30 06:00:00;1988-03-29;0.0;Y
1988-03-30 06:00:01;1988-03-31 06:00:00;1988-03-30;0.0;Y
1988-03-31 06:00:01;1988-04-01 06:00:00;1988-03-31;0.0;Y
1988-04-01 06:00:01;1988-04-02 06:00:00;1988-04-01;0.0;Y
1988-04-02 06:00:01;1988-04-03 06:00:00;1988-04-02;6.4;Y
1988-04-03 06:00:01;1988-04-04 06:00:00;1988-04-03;1.4;Y
1988-04-04 06:00:01;1988-04-05 06:00:00;1988-04-04;0.0;Y
1988-04-05 06:00:01;1988-04-06 06:00:00;1988-04-05;0.0;Y
1988-04-06 06:00:01;1988-04-07 06:00:00;1988-04-06;0.0;Y
1988-04-07 06:00:01;1988-04-08 06:00:00;1988-04-07;0.0;Y
1988-04-08 06:00:01;1988-04-09 06:00:00;1988-04-08;0.9;Y
1988-04-09 06:00:01;1988-04-10 06:00:00;1988-04-09;0.0;Y
1988-04-10 06:00:01;1988-04-11 06:00:00;1988-04-10;2.4;Y
1988-04-11 06:00:01;1988-04-12 06:00:00;1988-04-11;4.0;Y
1988-04-12 06:00:01;1988-04-13 06:00:00;1988-04-12;0.0;Y
1988-04-13 06:00:01;1988-04-14 06:00:00;1988-04-13;0.0;Y
1988-04-14 06:00:01;1988-04-15 06:00:00;1988-04-14;0.0;Y
1988-04-15 06:00:01;1988-04-16 06:00:00;1988-04-15;0.0;Y
1988-04-16 06:00:01;1988-04-17 06:00:00;1988-04-16;0.0;Y
1988-04-17 06:00:01;1988-04-18 06:00:00;1988-04-17;3.0;Y
1988-04-18 06:00:01;1988-04-19 06:00:00;1988-04-18;0.0;Y
1988-04-19 06:00:01;1988-04-20 06:00:00;1988-04-19;1.2;Y
1988-04-20 06:00:01;1988-04-21 06:00:00;1988-04-20;0.0;Y
1988-04-21 06:00:01;1988-04-22 06:00:00;1988-04-21;2.0;Y
1988-04-22 06:00:01;1988-04-23 06:00:00;1988-04-22;0.2;Y
1988-04-23 06:00:01;1988-04-24 06:00:00;1988-04-23;0.0;Y
1988-04-24 06:00:01;1988-04-25 06:00:00;1988-04-24;0.0;Y
1988-04-25 06:00:01;1988-04-26 06:00:00;1988-04-25;0.0;Y
1988-04-26 06:00:01;1988-04-27 06:00:00;1988-04-26;0.0;Y
1988-04-27 06:00:01;1988-04-28 06:00:00;1988-04-27;0.0;Y
1988-04-28 06:00:01;1988-04-29 06:00:00;1988-04-28;0.0;Y
1988-04-29 06:00:01;1988-04-30 06:00:00;1988-04-29;0.0;Y
1988-04-30 06:00:01;1988-05-01 06:00:00;1988-04-30;0.0;Y
1988-05-01 06:00:01;1988-05-02 06:00:00;1988-05-01;0.0;Y
1988-05-02 06:00:01;1988-05-03 06:00:00;1988-05-02;0.0;Y
1988-05-03 06:00:01;1988-05-04 06:00:00;1988-05-03;0.3;Y
1988-05-04 06:00:01;1988-05-05 06:00:00;1988-05-04;2.5;Y
1988-05-05 06:00:01;1988-05-06 06:00:00;1988-05-05;3.6;Y
1988-05-06 06:00:01;1988-05-07 06:00:00;1988-05-06;0.0;Y
1988-05-07 06:00:01;1988-05-08 06:00:00;1988-05-07;0.0;Y
1988-05-08 06:00:01;1988-05-09 06:00:00;1988-05-08;0.0;Y
1988-05-09 06:00:01;1988-05-10 06:00:00;1988-05-09;0.0;Y
1988-05-10 06:00:01;1988-05-11 06:00:00;1988-05-10;0.0;Y
1988-05-11 06:00:01;1988-05-12 06:00:00;1988-05-11;0.0;Y
1988-05-12 06:00:01;1988-05-13 06:00:00;1988-05-12;0.0;Y
1988-05-13 06:00:01;1988-05-14 06:00:00;1988-05-13;0.0;Y
1988-05-14 06:00:01;1988-05-15 06:00:00;1988-05-14;0.0;Y
1988-05-15 06:00:01;1988-05-16 06:00:00;1988-05-15;0.0;Y
1988-05-16 06:00:01;1988-05-17 06:00:00;1988-05-16;0.0;Y
1988-05-17 06:00:01;1988-05-18 06:00:00;1988-05-17;0.0;Y
1988-05-18 06:00:01;1988-05-19 06:00:00;1988-05-18;0.0;Y
1988-05-19 06:00:01;1988-05-20 06:00:00;1988-05-19;0.0;Y
1988-05-20 06:00:01;1988-05-21 06:00:00;1988-05-20;5.8;Y
1988-05-21 06:00:01;1988-05-22 06:00:00;1988-05-21;0.4;Y
1988-05-22 06:00:01;1988-05-23 06:00:00;1988-05-22;0.3;Y
1988-05-23 06:00:01;1988-05-24 06:00:00;1988-05-23;0.0;Y
1988-05-24 06:00:01;1988-05-25 06:00:00;1988-05-24;0.0;Y
1988-05-25 06:00:01;1988-05-26 06:00:00;1988-05-25;0.0;Y
1988-05-26 06:00:01;1988-05-27 06:00:00;1988-05-26;0.0;Y
1988-05-27 06:00:01;1988-05-28 06:00:00;1988-05-27;0.0;Y
1988-05-28 06:00:01;1988-05-29 06:00:00;1988-05-28;0.0;Y
1988-05-29 06:00:01;1988-05-30 06:00:00;1988-05-29;0.0;Y
1988-05-30 06:00:01;1988-05-31 06:00:00;1988-05-30;0.0;Y
1988-05-31 06:00:01;1988-06-01 06:00:00;1988-05-31;20.3;Y
1988-06-01 06:00:01;1988-06-02 06:00:00;1988-06-01;5.3;Y
1988-06-02 06:00:01;1988-06-03 06:00:00;1988-06-02;0.3;Y
1988-06-03 06:00:01;1988-06-04 06:00:00;1988-06-03;0.2;Y
1988-06-04 06:00:01;1988-06-05 06:00:00;1988-06-04;0.0;Y
1988-06-05 06:00:01;1988-06-06 06:00:00;1988-06-05;2.3;Y
1988-06-06 06:00:01;1988-06-07 06:00:00;1988-06-06;0.0;Y
1988-06-07 06:00:01;1988-06-08 06:00:00;1988-06-07;15.0;Y
1988-06-08 06:00:01;1988-06-09 06:00:00;1988-06-08;0.0;Y
1988-06-09 06:00:01;1988-06-10 06:00:00;1988-06-09;0.0;Y
1988-06-10 06:00:01;1988-06-11 06:00:00;1988-06-10;6.5;Y
1988-06-11 06:00:01;1988-06-12 06:00:00;1988-06-11;0.0;Y
1988-06-12 06:00:01;1988-06-13 06:00:00;1988-06-12;0.0;Y
1988-06-13 06:00:01;1988-06-14 06:00:00;1988-06-13;0.0;Y
1988-06-14 06:00:01;1988-06-15 06:00:00;1988-06-14;0.0;Y
1988-06-15 06:00:01;1988-06-16 06:00:00;1988-06-15;0.0;Y
1988-06-16 06:00:01;1988-06-17 06:00:00;1988-06-16;0.0;Y
1988-06-17 06:00:01;1988-06-18 06:00:00;1988-06-17;0.0;Y
1988-06-18 06:00:01;1988-06-19 06:00:00;1988-06-18;0.0;Y
1988-06-19 06:00:01;1988-06-20 06:00:00;1988-06-19;1.1;Y
1988-06-20 06:00:01;1988-06-21 06:00:00;1988-06-20;2.0;Y
1988-06-21 06:00:01;1988-06-22 06:00:00;1988-06-21;0.0;Y
1988-06-22 06:00:01;1988-06-23 06:00:00;1988-06-22;0.0;Y
1988-06-23 06:00:01;1988-06-24 06:00:00;1988-06-23;0.0;Y
1988-06-24 06:00:01;1988-06-25 06:00:00;1988-06-24;0.0;G
1988-06-25 06:00:01;1988-06-26 06:00:00;1988-06-25;0.0;G
1988-06-26 06:00:01;1988-06-27 06:00:00;1988-06-26;0.0;G
1988-06-27 06:00:01;1988-06-28 06:00:00;1988-06-27;0.0;G
1988-06-28 06:00:01;1988-06-29 06:00:00;1988-06-28;2.0;G
1988-06-29 06:00:01;1988-06-30 06:00:00;1988-06-29;3.7;G
1988-06-30 06:00:01;1988-07-01 06:00:00;1988-06-30;0.1;G
1988-07-01 06:00:01;1988-07-02 06:00:00;1988-07-01;0.0;G
1988-07-02 06:00:01;1988-07-03 06:00:00;1988-07-02;18.1;G
1988-07-03 06:00:01;1988-07-04 06:00:00;1988-07-03;0.0;G
1988-07-04 06:00:01;1988-07-05 06:00:00;1988-07-04;0.3;G
1988-07-05 06:00:01;1988-07-06 06:00:00;1988-07-05;0.0;G
1988-07-06 06:00:01;1988-07-07 06:00:00;1988-07-06;21.6;G
1988-07-07 06:00:01;1988-07-08 06:00:00;1988-07-07;0.3;G
1988-07-08 06:00:01;1988-07-09 06:00:00;1988-07-08;0.7;G
1988-07-09 06:00:01;1988-07-10 06:00:00;1988-07-09;4.2;G
1988-07-10 06:00:01;1988-07-11 06:00:00;1988-07-10;0.0;G
1988-07-11 06:00:01;1988-07-12 06:00:00;1988-07-11;7.5;G
1988-07-12 06:00:01;1988-07-13 06:00:00;1988-07-12;1.7;G
1988-07-13 06:00:01;1988-07-14 06:00:00;1988-07-13;0.0;G
1988-07-14 06:00:01;1988-07-15 06:00:00;1988-07-14;0.0;G
1988-07-15 06:00:01;1988-07-16 06:00:00;1988-07-15;0.0;G
1988-07-16 06:00:01;1988-07-17 06:00:00;1988-07-16;13.8;G
1988-07-17 06:00:01;1988-07-18 06:00:00;1988-07-17;3.2;G
1988-07-18 06:00:01;1988-07-19 06:00:00;1988-07-18;4.4;G
1988-07-19 06:00:01;1988-07-20 06:00:00;1988-07-19;0.0;G
1988-07-20 06:00:01;1988-07-21 06:00:00;1988-07-20;0.0;G
1988-07-21 06:00:01;1988-07-22 06:00:00;1988-07-21;0.0;G
1988-07-22 06:00:01;1988-07-23 06:00:00;1988-07-22;0.0;G
1988-07-23 06:00:01;1988-07-24 06:00:00;1988-07-23;0.0;G
1988-07-24 06:00:01;1988-07-25 06:00:00;1988-07-24;13.3;G
1988-07-25 06:00:01;1988-07-26 06:00:00;1988-07-25;0.0;G
1988-07-26 06:00:01;1988-07-27 06:00:00;1988-07-26;3.0;G
1988-07-27 06:00:01;1988-07-28 06:00:00;1988-07-27;0.0;G
1988-07-28 06:00:01;1988-07-29 06:00:00;1988-07-28;0.0;G
1988-07-29 06:00:01;1988-07-30 06:00:00;1988-07-29;0.5;G
1988-07-30 06:00:01;1988-07-31 06:00:00;1988-07-30;0.3;G
1988-07-31 06:00:01;1988-08-01 06:00:00;1988-07-31;1.9;G
1988-08-01 06:00:01;1988-08-02 06:00:00;1988-08-01;1.3;Y
1988-08-02 06:00:01;1988-08-03 06:00:00;1988-08-02;11.4;G
1988-08-03 06:00:01;1988-08-04 06:00:00;1988-08-03;3.7;G
1988-08-04 06:00:01;1988-08-05 06:00:00;1988-08-04;0.0;G
1988-08-05 06:00:01;1988-08-06 06:00:00;1988-08-05;1.8;Y
1988-08-06 06:00:01;1988-08-07 06:00:00;1988-08-06;0.0;G
1988-08-07 06:00:01;1988-08-08 06:00:00;1988-08-07;0.0;G
1988-08-08 06:00:01;1988-08-09 06:00:00;1988-08-08;0.0;G
1988-08-09 06:00:01;1988-08-10 06:00:00;1988-08-09;0.0;G
1988-08-10 06:00:01;1988-08-11 06:00:00;1988-08-10;0.0;G
1988-08-11 06:00:01;1988-08-12 06:00:00;1988-08-11;1.3;G
1988-08-12 06:00:01;1988-08-13 06:00:00;1988-08-12;3.3;G
1988-08-13 06:00:01;1988-08-14 06:00:00;1988-08-13;5.9;G
1988-08-14 06:00:01;1988-08-15 06:00:00;1988-08-14;1.4;G
1988-08-15 06:00:01;1988-08-16 06:00:00;1988-08-15;2.3;Y
1988-08-16 06:00:01;1988-08-17 06:00:00;1988-08-16;0.0;Y
1988-08-17 06:00:01;1988-08-18 06:00:00;1988-08-17;1.0;Y
1988-08-18 06:00:01;1988-08-19 06:00:00;1988-08-18;0.0;Y
1988-08-19 06:00:01;1988-08-20 06:00:00;1988-08-19;3.1;Y
1988-08-20 06:00:01;1988-08-21 06:00:00;1988-08-20;0.5;Y
1988-08-21 06:00:01;1988-08-22 06:00:00;1988-08-21;1.3;Y
1988-08-22 06:00:01;1988-08-23 06:00:00;1988-08-22;16.4;Y
1988-08-23 06:00:01;1988-08-24 06:00:00;1988-08-23;6.2;Y
1988-08-24 06:00:01;1988-08-25 06:00:00;1988-08-24;0.7;Y
1988-08-25 06:00:01;1988-08-26 06:00:00;1988-08-25;0.0;Y
1988-08-26 06:00:01;1988-08-27 06:00:00;1988-08-26;0.0;Y
1988-08-27 06:00:01;1988-08-28 06:00:00;1988-08-27;0.0;Y
1988-08-28 06:00:01;1988-08-29 06:00:00;1988-08-28;0.0;Y
1988-08-29 06:00:01;1988-08-30 06:00:00;1988-08-29;3.1;Y
